,District,Year,Female Entrepreneurship Index,Household using insecticide (%),Households having practiced irrigation (%),Households having practiced animal husbandry (%),Average household size (units),Households using NPK (%),Households using herbicide (%)
1,DAKAR,2017,0.0500000007450581,8,7.99999982118607,36.0000014305115,4.90399980545044,,
2,DAKAR,2018,0.332340687513351,,,35.9341144561768,5.36316919326782,,
3,DAKAR,2019,0.0194908510893583,,26.8045246601105,97.2276747226715,7.174156665802,,
4,DAKAR,2020,0.172561213374138,16.6484519839287,,65.41987657547,9.76500701904297,24.0801453590393,
5,DIOURBEL,2017,0.956035256385803,3.86264324188232,,77.1873354911804,9.51945114135742,95.1728973388672,
6,DIOURBEL,2018,1.79560613632202,4.5925498008728,3.45748215913773,71.5430021286011,10.4074182510376,14.7693738937378,3.25250148773193
7,DIOURBEL,2019,0.509818255901337,3.37741747498512,6.16166815161705,86.9756758213043,9.57443141937256,7.42668658494949,
8,DIOURBEL,2020,0.397190928459168,,,73.4250485897064,9.92385387420654,30.0871312618256,
9,FATICK,2017,0.885528862476349,4.16654634475708,2.48403530567884,78.8202106952667,7.97418308258057,91.3651962280273,5.96003580093384
10,FATICK,2018,0.369647473096848,2.0259575843811,2.42959298193455,68.3180630207062,9.03389358520508,46.742992401123,19.1815280914307
11,FATICK,2019,1.3640079498291,,,80.681985616684,9.52687454223633,10.1966612040997,
12,FATICK,2020,0.123980648815632,,,68.653279542923,8.07422637939453,25.7647752761841,
13,KAFFRINE,2017,0.215990856289864,11.9348077774048,,87.8038823604584,9.03759956359863,95.5666885375977,43.110595703125
14,KAFFRINE,2018,0.9636470079422,20.1108684539795,11.1552819609642,87.0122075080872,10.929967880249,68.4069900512695,11.6345319747925
15,KAFFRINE,2019,0.111359603703022,30.8118045330048,59.6400499343872,69.39297914505,7.40583896636963,27.8526276350021,29.4039219617844
16,KAFFRINE,2020,0.295411258935928,33.1817239522934,1.77573096007109,85.2357864379883,10.8812561035156,69.6041107177734,9.00562852621078
17,KAOLACK,2017,0.722988069057465,6.5815224647522,13.8277962803841,65.9345805644989,9.96915912628174,98.1009521484375,6.37110996246338
18,KAOLACK,2018,0.495813488960266,14.4405517578125,15.7457485795021,86.5300059318542,11.3624563217163,64.8421020507813,15.2893562316895
19,KAOLACK,2019,0.182185560464859,,4.20704074203968,70.1559722423553,10.0801153182983,32.1743607521057,10.3642486035824
20,KAOLACK,2020,0.20395427942276,3.35293114185333,4.41293455660343,74.8169183731079,10.9127597808838,77.4736285209656,
21,KEDOUGOU,2017,0.851201593875885,25.6660766601563,3.93983609974384,74.5923757553101,5.71091318130493,98.9236907958984,3.24896788597107
22,KEDOUGOU,2018,0.569954752922058,,5.43763898313046,55.7692289352417,7.39458274841309,37.017707824707,24.9206848144531
23,KEDOUGOU,2019,0.337575703859329,16.5469214320183,,72.0937728881836,9.69367504119873,53.8297176361084,
24,KEDOUGOU,2020,0.446845144033432,6.62046074867249,,58.2808673381805,7.70885467529297,40.5024915933609,59.8729312419891
25,KOLDA,2017,0.634705483913422,17.0070362091064,2.5628712028265,94.9004888534546,12.2672252655029,86.7582931518555,
26,KOLDA,2018,0.923435807228088,,4.72050420939922,92.8838670253754,11.8517723083496,39.8466987609863,18.1811065673828
27,KOLDA,2019,0.114165276288986,6.34858012199402,8.00480246543884,73.7813830375671,9.88499736785889,13.1642565131187,
28,KOLDA,2020,0.262081861495972,4.91199046373367,6.83202967047691,80.1018357276917,10.414867401123,40.8718228340149,45.3757345676422
29,LOUGA,2017,0.704405665397644,14.2881345748901,,84.639847278595,8.82107257843018,100,6.28957462310791
30,LOUGA,2018,0.488016277551651,18.6253414154053,2.70908009260893,92.162424325943,8.92558860778809,11.2167949676514,5.58217763900757
31,LOUGA,2019,0.487223476171494,6.66438192129135,3.02221961319447,84.0654850006104,8.31789302825928,5.78662641346455,4.36493158340454
32,LOUGA,2020,0.138512253761292,9.26642119884491,4.0171816945076,89.9440944194794,8.31179714202881,10.4251056909561,
33,MATAM,2017,0.735170602798462,7.51861763000488,25.0846892595291,74.1269826889038,7.99059820175171,97.1037292480469,3.9116952419281
34,MATAM,2018,0.19083571434021,8.28460025787354,30.6558191776276,76.4277875423431,11.6461572647095,20.2315559387207,20.8104438781738
35,MATAM,2019,0.0955656692385674,3.14750298857689,,69.6066737174988,9.874680519104,13.1707310676575,
36,MATAM,2020,0.115555845201015,,18.342362344265,59.8134577274323,11.2071580886841,17.653925716877,
37,SAINT LOUIS,2017,0.832168221473694,3.46322321891785,71.9542801380157,85.5092465877533,8.71035099029541,100,31.9492607116699
38,SAINT LOUIS,2018,0.126961886882782,10.8062038421631,50.8768796920776,68.3054804801941,9.85123920440674,49.1330909729004,49.0665664672851
39,SAINT LOUIS,2019,0.413799107074737,9.19847190380096,11.4246413111687,79.7854900360107,10.0064010620117,35.0458055734634,36.942121386528
40,SAINT LOUIS,2020,0.0843854770064354,23.3405351638794,58.9765071868896,63.5077953338623,6.61286020278931,45.6008642911911,33.9373469352722
41,SEDHIOU,2017,0.365462839603424,6.11694002151489,6.15226849913597,60.1042449474335,9.97782611846924,100,
42,SEDHIOU,2018,0.885011553764343,10.1539182662964,8.38749557733536,62.3307049274445,12.3447399139404,45.7029762268066,37.3718566894531
43,SEDHIOU,2019,0.152912005782127,,21.3894322514534,84.9903762340546,13.0944786071777,22.3336592316628,12.507338821888
44,SEDHIOU,2020,0.727580010890961,3.2147828489542,5.26832044124603,58.7631583213806,11.6782455444336,47.0130354166031,10.1094797253609
45,TAMBACOUNDA,2017,0.678498268127441,31.8821868896484,5.73117658495903,67.476350069046,7.8830099105835,99.3814392089844,19.8026885986328
46,TAMBACOUNDA,2018,0.47856205701828,6.45168781280518,11.659874022007,71.1312770843506,9.43135070800781,29.4062843322754,6.09778785705566
47,TAMBACOUNDA,2019,0.807085692882538,16.2736669182777,2.49549578875303,65.4529929161072,10.4632081985474,68.3345437049866,2.74520348757505
48,TAMBACOUNDA,2020,0.100976713001728,4.07224111258984,7.99904465675354,71.5341508388519,11.0606880187988,23.5000431537628,6.38404116034508
49,THIES,2017,0.741348505020142,22.1190853118896,3.80396321415901,70.7369565963745,9.06070232391357,95.780876159668,72.0096588134766
50,THIES,2018,0.420772641897202,19.0915718078613,7.47084617614746,81.6987574100494,11.5222158432007,22.0886402130127,7.19172191619873
51,THIES,2019,0.569063782691956,,,52.7895271778107,8.58743572235107,25.9856224060059,73.7070977687836
52,THIES,2020,0.0850851163268089,11.6577282547951,10.2189339697361,73.4583556652069,10.1948165893555,26.4923512935638,
53,ZIGUINCHOR,2017,0.828194618225098,,10.698463767767,76.6355991363525,9.65527629852295,83.3878784179688,9.43285846710205
54,ZIGUINCHOR,2018,0.678672313690186,,5.87115883827209,70.5335736274719,9.03108215332031,5.69335222244263,4.00285911560059
55,ZIGUINCHOR,2019,0.771172225475311,5.0317108631134,,75.5718052387238,10.7826147079468,37.9415333271027,10.7165358960629
56,ZIGUINCHOR,2020,0.419360846281052,4.10986877977848,,87.4051094055176,8.14249038696289,18.7775477766991,
