District,Year,SMI,VGI,WDI,Precipitation,GDD
KOLDA,2016,9.47760755638207,8.03423462549729,480.400819108221,930,9.47760755638207
KOLDA,2017,9.61194847704342,7.84991338795956,428.533106689317,981,9.61194847704342
KOLDA,2018,9.33246962516906,7.74983834060304,408.851367969698,908,9.33246962516906
KOLDA,2019,9.47761467344557,7.87683314106962,438.409813499216,906,9.47761467344557
KOLDA,2020,9.52641107676995,7.96213773667462,421.626833256765,1151,9.52641107676995
KOLDA,2021,9.201986449962,8.3318751010648,626.582575949767,981,9.201986449962
LOUGA,2015,9.58321394799432,7.9270646070039,597.233316051482,425,9.58321394799432
LOUGA,2016,9.18787013778901,8.27467392371628,639.113532726591,375,9.18787013778901
LOUGA,2017,9.29932225936205,8.3545905307183,635.756892262611,326,9.29932225936205
LOUGA,2018,8.89737504216915,8.07103737134164,561.349252050098,340,8.89737504216915
LOUGA,2019,8.88208263117611,8.41738250828284,623.463743406301,296,8.88208263117611
LOUGA,2020,9.36891150433317,8.52363287696882,615.530634400718,491,9.36891150433317
LOUGA,2021,8.662949966466,9.60089214974017,,398,8.662949966466
MATAM,2015,10.4638579166919,7.99193698500381,583.558728796163,429,10.4638579166919
MATAM,2016,10.074939293972,8.09840135345293,593.36334460077,452,10.074939293972
MATAM,2017,10.161858492859,8.2984078272028,597.943124171108,450,10.161858492859
MATAM,2018,9.97213433262413,7.95242469397192,588.017830126395,403,9.97213433262413
MATAM,2019,9.9869948270416,7.80729292670373,574.150612920373,361,9.9869948270416
MATAM,2020,10.1757439839452,7.87461198927188,545.559155641235,570,10.1757439839452
MATAM,2021,9.63853285495142,9.02265382744779,603.188546844414,501,9.63853285495142
SAINT-LOUIS,2015,9.72038596563451,8.29525997900799,525.828464690418,260,9.72038596563451
SAINT-LOUIS,2016,9.16075562887713,8.85104741222019,577.371656023218,251,9.16075562887713
SAINT-LOUIS,2017,9.29728198874233,8.70392152025227,578.999298435274,202,9.29728198874233
SAINT-LOUIS,2018,8.80761864777265,8.54320252147581,499.183423672516,230,8.80761864777265
SAINT-LOUIS,2019,8.82914095564126,8.73077078977851,538.22625464138,182,8.82914095564126
SAINT-LOUIS,2020,9.37713164920546,8.63593573728041,529.03191540641,345,9.37713164920546
SAINT-LOUIS,2021,8.38632907133794,9.66802831064485,653.9254137294,301,8.38632907133794
SEDHIOU,2015,9.10112719986279,8.4164641741021,314.568102622342,1170,9.10112719986279
SEDHIOU,2016,9.09358271684239,8.57621138958002,385.266512361615,1019,9.09358271684239
SEDHIOU,2017,9.21769724611995,8.46847470676268,365.236915419896,1040,9.21769724611995
SEDHIOU,2018,8.87725628859478,8.2076403116874,324.707311241741,960,8.87725628859478
SEDHIOU,2019,8.99680938684026,8.33002774704189,339.9741586607,918,8.99680938684026
SEDHIOU,2020,9.24503909469903,8.31580607764034,347.612557178219,1286,9.24503909469903
SEDHIOU,2021,8.7894599644202,9.60896312901014,,984,8.7894599644202
TAMBACOUNDA,2015,10.239339548027,7.90348274233617,443.528384772275,794,10.239339548027
TAMBACOUNDA,2016,10.1581998604018,7.76692303649335,514.564557100157,690,10.1581998604018
TAMBACOUNDA,2017,10.1660361567481,7.68886575321049,484.07137473997,738,10.1660361567481
TAMBACOUNDA,2018,9.97716620207703,7.46162425306415,470.911846434084,715,9.97716620207703
TAMBACOUNDA,2019,10.1200629976172,7.56670401564952,487.686800533328,638,10.1200629976172
TAMBACOUNDA,2020,10.0939302068047,7.56995412915799,456.487267640483,802,10.0939302068047
TAMBACOUNDA,2021,9.97532578671471,7.43398057835462,583.355128785349,773,9.97532578671471
THIES,2015,8.64956560537049,7.98733260621025,452.775684920564,572,8.64956560537049
THIES,2016,8.47300902293157,8.1669703211297,516.628649784004,417,8.47300902293157
THIES,2017,8.58297179673397,8.19357691783393,520.55200882255,388,8.58297179673397
THIES,2018,8.11488698062112,7.9392946563365,511.601866470256,308,8.11488698062112
THIES,2019,8.15312630408996,8.06869410936319,506.846540844684,363,8.15312630408996
THIES,2020,8.66702571241457,8.08878721964583,489.884862573667,543,8.66702571241457
THIES,2021,8.11714333805633,9.26977824208917,,511,8.11714333805633
ZIGUINCHOR,2015,8.83296591184545,8.45846846034591,190.931997811418,1396,8.83296591184545
ZIGUINCHOR,2016,8.8479074349126,8.76513710129288,225.188618946082,1097,8.8479074349126
ZIGUINCHOR,2017,8.94122669986773,8.48242540199351,229.31697670109,1179,8.94122669986773
ZIGUINCHOR,2018,8.63293905474683,8.36582388626769,218.460361836778,1045,8.63293905474683
ZIGUINCHOR,2019,8.80900845906001,8.59622248904376,236.25334101686,920,8.80900845906001
ZIGUINCHOR,2020,9.0253591583215,8.4545587177592,227.849562295346,1697,9.0253591583215
ZIGUINCHOR,2021,8.91718032575628,9.83541158789482,,1032,8.91718032575628
