District,Year,Less -3 ET_Size Age,Less -2 ET_Size Age,Avg RCS (ET)_Size Age,Less -3 ET_Weight Height,Less -2 ET_Weight Height,Less +2 ET_Weight Height,Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age,Less -2 ET_Weight Age,Less  +2 ET_Weight Age,Avg RCS (ET)_Weight Age,Neonatal mortality,Post-neonatal mortality,Child mortality,Juvenile mortality,Child-juvenile mortality 
LOUGA,2015,4,18.9,-1,2.9,12.4,0.9,-0.7,4.2,19.8,0.3,-1.1,2.1,1.8,3.9,1.1,5
LOUGA,2016,3.1,15.8,-1,2.2,9.6,0.8,-0.6,3.4,16.1,0.3,-1,2.7,1.4,4.1,1.2,5.2
LOUGA,2017,3,16.1,-1,2.2,13.8,0.5,-0.8,3,17.5,0.3,-1.1,3.3,1.5,4.8,1.7,6.4
LOUGA,2018,3.9,17.4,-0.9,1.9,11.1,1.1,-0.8,3.5,18.9,0.5,-1.1,2.5,1.5,4.1,1.4,5.4
LOUGA,2019,5,17.9,-1,2.7,12.8,0.9,-0.8,5,17.7,0.3,-1.1,2.8,1.7,4.5,0.9,5.3
LOUGA,2020,,,,,,,,,,,,,,,,
LOUGA,2021,,,,,,,,,,,,,,,,
MATAM,2015,4,18.9,-1,2.9,12.4,0.9,-0.7,4.2,19.8,0.3,-1.1,2.1,1.8,3.9,1.1,5
MATAM,2016,5.8,23,-1.1,2.7,12.7,0.9,-0.8,4.4,23.8,0.3,-1.2,1.7,2.5,4.2,1.4,5.5
MATAM,2017,5,19.7,-1,2.5,15,0.4,-1,5.3,22.4,0.4,-1.2,3.3,2.2,5.5,1.7,7.1
MATAM,2018,3.9,17.4,-0.9,1.9,11.1,1.1,-0.8,3.5,18.9,0.5,-1.1,2.5,1.5,4.1,1.4,5.4
MATAM,2019,5,17.9,-1,2.7,12.8,0.9,-0.8,5,17.7,0.3,-1.1,2.8,1.7,4.5,0.9,5.3
MATAM,2020,,,,,,,,,,,,,,,,
MATAM,2021,,,,,,,,,,,,,,,,
SAINT-LOUIS,2015,4,18.9,-1,2.9,12.4,0.9,-0.7,4.2,19.8,0.3,-1.1,2.1,1.8,3.9,1.1,5
SAINT-LOUIS,2016,4.1,18.9,-1,2.3,11.2,0.7,-0.7,3.8,18.7,0.5,-1.1,2.1,1.5,3.6,1.3,4.8
SAINT-LOUIS,2017,3.1,17,-0.9,0.9,9.2,0.5,-0.7,1.7,16.2,0.2,-1,2.7,1.4,4.1,1,5.1
SAINT-LOUIS,2018,3.9,17.4,-0.9,1.9,11.1,1.1,-0.8,3.5,18.9,0.5,-1.1,2.5,1.5,4.1,1.4,5.4
SAINT-LOUIS,2019,5,17.9,-1,2.7,12.8,0.9,-0.8,5,17.7,0.3,-1.1,2.8,1.7,4.5,0.9,5.3
SAINT-LOUIS,2020,,,,,,,,,,,,,,,,
SAINT-LOUIS,2021,,,,,,,,,,,,,,,,
SEDHIOU,2015,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3
SEDHIOU,2016,8.7,24.6,-1.2,1.6,7.6,0.9,-0.6,5.3,17.7,0.4,-1.1,2.9,2.2,5.2,2.8,7.8
SEDHIOU,2017,7.8,26.6,-1.3,1.3,10.1,1.3,-0.6,4.1,22.5,0.5,-1.2,3.5,1.8,5.3,2.6,7.8
SEDHIOU,2018,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9
SEDHIOU,2019,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1
SEDHIOU,2020,,,,,,,,,,,,,,,,
SEDHIOU,2021,,,,,,,,,,,,,,,,
TAMBACOUNDA,2015,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3
