,District,Year,Retail price of imported product_Maize,Retail price of imported product_Imported plain breeze rice,Retail price of imported product_Imported fragrant breeze rice,Retail price of local product_Peanut kernels,Retail price of local product_Unshelled peanut,Retail price of local product_Maize,Retail price of local product_Millet,Retail price of local product_Cowpea,Retail price of local product_Sorghum,Producer price_Local husked rice,Producer price_Unshelled peanut,Producer price_Millet,Producer price_Sorghum,Producer price_Shelled peanut,Producer price_Maize,Producer price_Cowpea
1,DAKAR,2016,227.94212962963,278.090277777778,349.027777777778,600.197487697488,330.800925925926,232.192271270396,233.26099537037,435.069153069153,238.483796296296,348.609131797574,,,,,,
2,DAKAR,2017,226.602492559524,286.241195436508,351.922743055555,626.921763132701,273.064236111111,237.025079521173,247.268931878307,413.461164125227,259.086516203704,347.09065888599,,,,,,
3,DAKAR,2018,226.550615906085,288.441261574074,358.138020833333,567.494006283069,356.553819444444,229.239728009259,245.538401124339,567.019386574074,260.649080200123,343.814072123142,,,,,,
4,DAKAR,2019,218.43522875021,296.154927248677,348.723958333333,576.3671875,380.257936507937,215.233072916667,249.208767361111,760.091145833333,218.7759051832,342.265625,,,,,,
5,DAKAR,2020,208.349145682666,301.837770061728,348.195615630511,627.1875,458.938285383598,201.176649305556,276.391203703704,518.217592592593,213.370225694444,346.927083333333,,,,,,
6,DAKAR,2021,216.186879960317,301.668981481482,354.125330687831,682.701967592592,504.745781917967,203.066452133859,276.099826388889,460.515625,210.710648148148,349.965277777778,,,,,,
7,DIOURBEL,2016,215.276041666667,266.144675925926,371.331474090004,582.674189814815,327.108217592593,193.068040551294,189.101273148148,318.350694444444,210.746527777778,268.553240740741,298.999999999986,208.33333333334,174.999994005635,,,
8,DIOURBEL,2017,213.722966269841,273.789682539683,378.563368055556,568.988177910053,285.434234457672,201.570591854309,220.031539351852,297.38529265873,236.595707625315,268.610532407407,298.999999999986,208.33333333334,174.999994081026,,,
9,DIOURBEL,2018,205.728009259259,273.251418847751,369.304108796296,499.097842261905,254.495949074074,199.583241654413,203.268725198413,506.597015542328,269.079731053779,276.300223214286,298.999999999986,208.33333333334,174.999994114329,,,
10,DIOURBEL,2019,206.217757936508,289.25630162462,431.673900462963,560.265170304233,310.320271164021,193.934438132701,223.880166997355,691.993840939153,263.318183454943,284.335730820106,298.999999999986,208.33333333334,174.999994055857,,,
11,DIOURBEL,2020,210.086040839947,313.372906791961,444.274499030901,673.930431547619,369.690600198413,221.405332156162,256.718563988095,457.738921957672,264.233868258888,317.254869135154,302.767361111098,209.224537037042,176.728871242511,,,
12,DIOURBEL,2021,236.945643187831,317.704309964727,446.507578262787,725.770916005291,371.32953042328,243.005344989936,254.532448743386,397.880208333333,257.36958000453,301.500143460162,328.277777777777,221.770833333334,203.246522988789,,,
13,FATICK,2016,225.010200173832,277.14016454535,351.393347112302,641.15162037037,289.401757714312,203.443424117705,196.995949074074,445.958333333333,232.484871031746,261.197848582448,252.944690156881,171.035372633615,196.29507001579,548.521148016101,182.385581760302,304.477526265593
14,FATICK,2017,217.658172123016,297.424768518518,351.064440972608,645.459015376984,231.341116894973,209.929510776923,221.366753472222,394.603567294974,240.759011243386,276.519063174177,205.674369333585,200.222380050505,210.735846818998,537.216633613522,184.019199971679,282.608844521605
15,FATICK,2018,216.740885416667,301.49537037037,359.143090500349,545.945498511905,203.944007665037,227.604884987697,221.964602623457,624.323986391695,315.161120756173,281.617647049279,182.683804178651,190.241499819625,261.546144450131,470.137545968142,196.539659538678,489.803481867284
16,FATICK,2019,235.939105213845,300.220486111111,429.185625754146,550.059937169312,244.754870756173,233.790057695006,235.406153549383,987.282810746352,261.356722608025,287.499999992947,207.784144792791,201.984853803177,215.547592195184,497.818953912779,195.193804604393,810.754959117442
17,FATICK,2020,240.792798137774,329.583399684579,481.736564136738,588.883879388245,333.249708585033,231.636140046296,268.540328036728,762.578758855183,266.665048005734,293.382352936608,278.890213868393,220.222800144448,212.549331584768,480.219438537939,190.091179711499,560.274363081146
18,FATICK,2021,241.581393637,320.668691466486,466.167017396184,650.108804032977,319.030853881957,222.725887345679,259.039719012605,671.603921966514,263.665242233257,299.011437906083,288.401227862586,216.680968565291,220.874763010127,538.116262747618,196.57118279626,544.335451165315
19,KAFFRINE,2016,199.999999999421,266.893224397131,409.164170297749,538.084472371084,244.007244158211,190.097281154786,178.563415247368,452.136332881358,179.651257530597,,223.261881490296,172.163360525187,190.61455730851,493.584645553702,180.177143076407,400.041671864216
20,KAFFRINE,2017,199.999999999433,272.8388136705,407.317306130354,530.180965248811,232.771105898699,186.667038176114,194.571939474844,426.414077863853,170.398820487398,,208.047489856821,185.65823075727,196.076506325149,487.39408649841,176.617631605822,391.621262248942
21,KAFFRINE,2018,199.999999999436,279.223153700137,386.380032613585,398.954266750884,225.402093997615,163.825165000023,170.487831317206,501.488811238335,216.146697143196,,188.694046610025,163.034814169918,208.449303239018,361.393768187106,156.759319151637,416.429683123078
22,KAFFRINE,2019,199.999999999432,298.038478122731,438.194444444444,538.080272039371,245.240169653536,182.872095321391,196.449796362633,633.616282987974,217.260456680689,,209.464625542747,185.441704427971,202.576741636942,503.076094333705,171.880204642282,487.599831740139
23,KAFFRINE,2020,218.518518517829,312.778632738028,481.584645582041,727.003427032073,267.795468128063,213.225295507368,234.848739588871,610.708630968822,216.782912342103,,242.341716998229,215.851548791943,202.537735200368,663.626124806326,187.013115092018,550.163972245279
24,KAFFRINE,2021,290.856481480381,326.962123859328,458.422827172827,697.720581116414,294.701920644531,231.932636716354,239.391534908805,519.923899504492,216.683134030079,,268.055765765163,214.34650997151,206.363820994599,652.764358326858,202.569876882377,425.727220695971
25,KAOLACK,2016,180.021178558076,297.631960631961,368.979166666667,484.444021690115,249.547038609539,185.635546659903,173.726138198335,383.443287037037,223.826884920635,276.112268518519,226.59123513023,164.735919751545,178.071542830467,442.579806478244,176.634925645342,192.073010040016
26,KAOLACK,2017,176.427369117741,307.087525707317,392.489293981481,498.708326568697,219.81113269049,177.561820746372,195.790815850022,317.597768886221,237.19696969697,280.076099537037,198.71658318228,185.731158887409,196.388730530277,452.709692209003,166.030770634942,199.32260011906
27,KAOLACK,2018,174.457363106908,309.628432507262,400.173611111111,400.04183521011,203.537294520684,164.594718730174,168.60700320014,427.889869916106,250.029220490158,305.698784722222,196.868780613326,158.797158907836,214.443140741602,370.86969862529,152.594618856373,258.408218968208
28,KAOLACK,2019,169.833378527598,300.72599688914,453.985757876383,477.982798913482,243.334998495117,180.650502070041,197.037187308595,607.063235521034,224.098892321158,333.440104166667,235.509265140235,186.734996099687,209.92510852369,442.003728582257,170.130754755761,262.070321936818
29,KAOLACK,2020,184.457643180606,313.689319974154,478.597932397303,647.984319885362,309.706727573906,185.523630338888,235.791480623588,523.833540438906,222.432138018292,325.929836923701,275.014945044776,220.072016055205,195.044581772552,603.29119646318,182.415662607315,429.289809732856
30,KAOLACK,2021,218.516505099838,325.1958763028,469.859182098765,699.270006613757,310.213041174551,211.485985419809,222.722023210994,516.101518119774,231.441748117455,321.546862269784,287.536888912988,212.731792513043,210.391127449192,658.455000261733,207.895277801155,463.193061509957
31,KEDOUGOU,2016,240.936225331974,276.148504273504,427.992565883191,546.615710678211,220.244853364714,268.333702177452,264.839616402116,560.068298599548,287.725330591192,,245.000000142149,290.625000000001,275,600.047705878054,200.004545313748,512.500000000047
32,KEDOUGOU,2017,227.754117308783,286.259017795476,435.057951982431,560.641350740309,207.642619841265,255.419626449839,286.458664021164,536.451533227575,294.229221057893,,245.000000142722,290.625000000001,275,600.049301095552,200.004583216188,512.500000000047
33,KEDOUGOU,2018,237.501437396441,299.056976010101,427.043788580247,559.637345679012,237.887060970273,248.531424500727,301.017554012346,580.952932098765,299.3656773379,,245.000000143989,290.625000000001,275,600.046615379622,199.984621733549,512.500000000047
34,KEDOUGOU,2019,242.957156698319,303.662247474747,436.069299768519,577.846696127946,224.138892039508,228.988399621212,268.778211805556,619.912760416667,276.9045291244,,245.000000142249,290.625000000001,275,600.049453239359,187.494894001694,512.500000000047
35,KEDOUGOU,2020,239.440067263817,323.196147000183,453.987373608901,665.665030378572,245.157258874056,226.848101454872,298.078817690797,586.198631008266,291.13671460631,,244.505208437848,291.053964120371,276.359953703704,604.76500614486,184.195937796999,519.785879629669
36,KEDOUGOU,2021,240.594793460807,327.727576243201,457.569116454533,776.502387658638,277.340277557812,228.111508861509,314.292219065657,649.925773763274,309.219053939885,,248.385416641276,297.916666666663,294.184027777778,672.063341862466,206.136745159284,579.820601851866
37,KOLDA,2016,225.485216170089,279.15048300465,417.863425925926,590.627177895407,254.366319444444,216.440872399206,228.31954311121,552.164981816023,227.20444023569,322.043439123373,212.427406372577,192.958101385291,205.260186472262,357.847514736796,196.395684210119,506.492002858328
38,KOLDA,2017,248.353638489746,285.009645061728,416.666956018519,604.630594135803,245.566725077308,230.677100804831,245.075758924717,543.671399009941,255.872112118206,284.840767848759,220.408735122419,199.891561682437,188.832500583642,440.694204999939,195.58111662699,496.222641631235
39,KOLDA,2018,233.216524800939,285.182291666667,407.494212962963,503.711419753086,236.08297530993,221.370856552729,224.340041035353,595.51948051948,257.720196759259,297.03744160149,242.137241212015,170.433320337351,164.553830562665,399.495698068388,178.583362392148,464.772726478574
40,KOLDA,2019,203.116612651304,302.581101190476,440.143229166667,513.935805224868,253.069140440345,212.818597056878,232.492766203704,765.952380952381,243.744130291005,304.642872760016,273.805491338427,190.077050341331,185.89835479629,348.755733823934,175.078422649714,437.500000559995
41,KOLDA,2020,199.077391837108,315.250979433054,464.718663883377,654.983052248677,312.440350339297,228.753858024691,262.832134589947,666.981233465609,252.700086805556,335.805986080257,256.948305921923,203.591994876426,172.159525191506,432.812411646232,187.459459154163,420.099433102277
42,KOLDA,2021,210.044047778377,307.318287037037,453.903687169312,691.751653439153,320.716065492983,233.791060405644,267.85689484127,619.6875,256.970982142857,339.037400855038,291.733725820172,210.102083954982,197.507120486819,527.393859845425,193.439182297972,459.038299702637
43,LOUGA,2016,231.967234347443,271.949997244268,375.090939153439,655.623972863556,244.302655224764,203.991366799876,205.705023949816,256.33093334135,238.974711740039,256.870669418543,,,,,,388.00000000015
44,LOUGA,2017,207.331845238095,276.532407407407,374.695891203704,604.048666096322,236.590196767549,200.440098404333,239.981495260141,243.466428295855,249.172071540876,256.438852050132,,,,,,388.000000000149
45,LOUGA,2018,188.873015873016,294.314236111111,368.033812830688,399.391114060416,254.198063375681,200.893494687609,213.999865190118,377.974826388889,256.839622641503,267.416956018519,,,,,,388.00000000015
46,LOUGA,2019,193.904369212963,303.851996527778,395.665509259259,413.486983680601,273.320093934079,211.138310185185,240.846578648612,603.698881172839,262.499999999993,293.754099151235,,,,,,388.000000000149
47,LOUGA,2020,188.637573026896,330.947974651859,410.803743661817,552.981081900353,291.785970817723,208.92436204806,279.8540357694,423.289696318342,268.160377358482,283.970678365328,,,,,,388.000000000149
48,LOUGA,2021,205.912767305996,332.269359016755,413.70453042328,691.072696208113,332.474635943147,217.523010361552,280.022514329806,380.623787477954,272.325078616344,292.130855771267,,,,,,375.583333333458
49,MATAM,2016,210.323516065863,266.410989858907,363.737847222222,646.522266313933,357.984289384551,218.756558641975,239.808393959436,532.064043209876,224.475556657848,264.596258476499,,,,,250,
50,MATAM,2017,231.613677154027,281.8725267306,353.695701439896,622.251157407407,378.30589456898,235.497395833333,269.969535383598,538.840663580247,243.435763888889,269.961816250266,,,,,250,
51,MATAM,2018,246.45347635582,290.160597167108,370.898699435017,545.463858575838,324.907407407407,266.380441799727,256.563395612875,606.981509038801,297.693039021164,291.432098765432,,,,,250,
52,MATAM,2019,248.657614087302,303.539737654321,407.311146674038,565.235132826279,291.535011574074,274.222045689463,258.147665895062,623.56391920194,310.821377231945,300.989817570547,,,,,250,
53,MATAM,2020,258.143037518038,321.083284481722,469.620182830685,666.678973514911,375.403446313649,237.709441373748,290.190709175084,757.35147231241,284.6414807818,305.74393488456,,,,,250,
54,MATAM,2021,257.148381132756,324.84632034632,484.897937710438,674.901094276094,490.070411892503,280.129729933525,283.885101010101,760.456439393939,295.058549479549,306.321293290043,,,,,250,
55,SAINT LOUIS,2016,231.424920083774,279.112402065527,401.076388888889,661.092013888889,326.212577160494,217.661541005291,236.846064814815,534.747299382716,240.834829803661,274.744791666667,,,,,,432.999999999543
56,SAINT LOUIS,2017,245.627652391975,288.850033068783,401.077353395062,654.137559248236,294.939218946713,240.768144638607,265.471739969136,483.729642030423,261.445071219625,293.643649415785,,,,,,432.999999999543
57,SAINT LOUIS,2018,241.212212026014,299.960317460317,401.649305555555,570.107301311728,275.255311895111,238.369874379228,251.075796406526,646.477037863757,253.413284029584,289.926904210758,,,,,,432.999999999547
58,SAINT LOUIS,2019,230.442570546737,302.594521604938,401.822916666667,636.610218520824,328.048842133415,241.405561067019,269.73436122134,835.456595133683,282.364156607722,283.47726521164,,,,,,432.999999999543
59,SAINT LOUIS,2020,234.897623121766,315.212259964267,464.869068287037,784.341498979568,381.075761684947,257.030266775541,317.891655532525,731.692021033419,299.796757420908,287.401598418771,,,,,,432.999999999541
60,SAINT LOUIS,2021,237.214424744539,307.018642526455,490.09375,826.155463922051,401.29682682325,260.489123954862,309.415001604167,654.99615541345,299.796433854863,293.530042339555,,,,,,435.381944443989
61,SEDHIOU,2016,275.000012657913,275,384.984864672365,522.658460944919,214.411395858319,211.976555466139,182.95390161536,541.868115680616,216.99096913952,349.999853060113,209.746674890268,162.004092261905,199.999999632785,446.286554783951,189.699818121693,376.090331929193
62,SEDHIOU,2017,273.625590145398,286.190079773824,396.191239316239,527.656199895783,237.632432897091,218.189468324885,207.387576736535,525.246362433862,231.386877552016,349.999850450849,201.400124123425,184.771046902557,199.9999996342,457.030836640212,194.258398093034,418.045593734699
63,SEDHIOU,2018,261.06770880062,296.224184923061,397.177174157129,486.742956407019,199.445601276568,205.11373069446,182.994371658434,554.876302083333,236.875284510576,349.999852218624,186.409561512808,157.45098930776,200.694444145994,411.509251743627,179.556609623016,357.69289794038
64,SEDHIOU,2019,233.015028308401,303.479800485009,431.108274655459,522.680555555556,214.0856930335,213.292657477553,214.021122685185,733.177083333333,263.202664690086,348.843485684698,195.623885016118,176.085379395001,199.059606715338,422.55071006487,183.754345991208,497.906646876139
65,SEDHIOU,2020,224.999977544731,315.363136574074,448.481855227623,670.127314814815,269.202777441473,244.105613425926,261.487991898148,652.745949074074,393.746315908067,365.094133863757,249.988954836325,175.382625391902,199.898727260337,593.836139788538,196.797261218838,505.36828828195
66,SEDHIOU,2021,224.999977602034,314.868378944725,455.398674527913,727.508714883357,306.020134814789,229.555295680537,242.020043256088,604.737181322106,374.893491763622,364.892311313672,283.659245636166,203.107278226517,200.000000372466,659.699193635216,197.70621001409,516.772875682584
67,TAMBACOUNDA,2016,199.999999999999,264.329329640834,432.972222222222,490.521234535481,226.336317898715,167.641148589065,170.95917383157,479.70513078969,187.523272156085,,191.889046484542,130.817462681818,142.020245060893,384.038133025586,121.817469014079,370.173789557603
68,TAMBACOUNDA,2017,199.999999999999,272.505053251147,429.325679782368,499.301642482152,228.122807244043,181.367929965381,201.591133669875,474.626257173745,213.401126073001,,188.46110939053,159.982963574024,171.039234589634,399.891035995706,144.853248914188,373.453619055882
69,TAMBACOUNDA,2018,199.999999999999,279.098443553598,438.584221957988,433.522621790166,197.925108320082,185.804102912347,197.429602751354,466.841835429458,222.4061663645,,166.853170165043,153.954681988536,186.416482388421,354.684193121693,149.414921538285,366.521164021164
70,TAMBACOUNDA,2019,199.999999999998,300.15317344664,453.030691933112,485.744189458191,213.078188519336,194.652984025495,206.877219215799,521.471837865067,219.705409125982,,181.992303015688,162.092028313642,184.846866589238,402.972437568882,151.856375891033,422.706444738807
71,TAMBACOUNDA,2020,199.999999999998,350.821580588227,480.61594338887,560.111600511417,315.203979904856,198.471878478389,236.424097331726,533.862030138072,222.123959593656,,229.489990140921,185.443896442366,186.451051947595,457.644231791176,154.673192701068,404.576025284765
72,TAMBACOUNDA,2021,201.562499999998,352.236015573025,494.759266242109,553.552804834055,294.309908429521,204.388903920154,239.066182659933,524.770619041452,231.126229937197,,249.2834822519,197.841600529101,187.622994648014,450.375312273099,168.049323361823,421.609917804578
73,THIES,2016,240.059130899511,284.494791666667,374.396843228032,678.480426198257,375.571958023934,237.03959283103,222.384098169101,417.254708866841,234.751273626438,257.084996498599,309.734461815889,197.268042602353,180.310677122069,634.918860415449,209.565562236768,355.789785886133
74,THIES,2017,230.012560148015,286.996527777778,392.976362709436,599.31869780943,277.771126597452,229.674893108678,234.406660610858,358.279138623042,236.728841472324,256.135359231024,234.863526853368,207.162930385587,212.303261766012,549.797423352111,211.183792574084,268.865892161465
75,THIES,2018,227.845448603797,297.838888888889,399.90234375,544.954342837117,284.742841783704,220.626379401304,215.080111384224,488.284420681556,236.458659792013,262.130427512076,250.858279488725,181.418946025648,200.540921301731,492.882379194879,211.721810519168,412.333811924958
76,THIES,2019,226.757434646758,286.900170219441,400,560.12740381498,280.139346764347,216.462919793416,233.215533477903,693.902956370404,254.234169309666,264.862787656017,291.880066563792,201.335700443803,227.826847708172,498.777339771425,196.98525366067,596.533297677021
77,THIES,2020,229.57150754568,293.294569310451,400.770801183127,621.973944634024,333.689042993079,238.717236192348,268.915088434104,482.303793360779,268.604411740901,277.447511567839,294.883121513048,218.443639928801,237.140884253347,606.272140962716,206.93844664202,337.449618471371
78,THIES,2021,240.361411039559,321.528288075921,406.883267195767,704.820362235803,415.166343494468,246.41835016835,275.938026126494,415.275920475675,262.990653953889,289.340933168139,361.319960472713,229.438707401706,222.352064239515,674.25559561489,216.693065326094,331.267048936484
79,ZIGUINCHOR,2016,299.999999999997,276.428342930893,481.965963102523,635.464029821073,255.055984779467,262.541666666667,255.918402777778,606.408161036231,282.856770833333,363.694180811038,299.999999999865,,271.004685153878,,250,
80,ZIGUINCHOR,2017,299.999999999997,285.703793222306,436.453736211926,642.174479166667,259.215326353462,271.03587962963,272.478298611111,596.102430555556,295.329861111111,338.601597601009,299.999999999865,,271.004685153878,,250,
81,ZIGUINCHOR,2018,299.999999999997,292.166283327649,403.990406744348,623.929398148148,284.265856778269,258.382523148148,255.91724537037,669.612268518518,304.947916666667,323.443662114605,299.999999999864,,271.004685153878,,250,
82,ZIGUINCHOR,2019,299.999999999997,302.808014144579,429.825771627348,669.270833333333,417.426116487065,252.473958333333,255.844907407407,800.531045751634,296.666666666667,371.217375348194,299.999999999865,,271.024665284899,,250.000000000001,
83,ZIGUINCHOR,2020,301.40190972222,326.860821759259,448.645352306787,875.193865740741,491.871375872581,279.755015432099,296.860532407407,725.554534313726,315.48225308642,394.085961206106,304.464285714147,,271.586681963877,,251.649305555556,
