District,Year,Peanut (tons),Cowpea (tons),Cassava (tons),Millet (tons),Maize (tons),Sorghum (tons),Rice (tons),Sheeps (number of heads),Chickens (number of heads),Assins (number of heads),Cows (number of heads),Goats (number of heads),Lower quintiles HH (%),Upper quintiles HH (%),Gini coefficient,Price_imported Maize (FCFA/kg),Price_imported PB rice (FCFA/kg),Price_imported FB rice (FCFA/kg),Price_local Peanut Kernels (FCFA/kg),Price_local uns. peanut (FCFA/kg),Price_local Maize (FCFA/kg),Price_local Millet (FCFA/kg),Price_local Cowpea (FCFA/kg),Price_local Sorghum (FCFA/kg),Producer price_H. rice (FCFA/kg),Producer price_uns. Peanut (FCFA/kg),Producer price_Millet (FCFA/kg),Producer price_Sorghum (FCFA/kg),Producer price s. peanut (FCFA/kg),Producer price_Maize (FCFA/kg),Producer price_Cowpea (FCFA/kg),Less -3 ET_Size Age (%),Less -2 ET_Size Age (%),Avg RCS (ET)_Size Age (%),Less -3 ET_Weight Height (%),Less -2 ET_Weight Height (%),Less +2 ET_Weight Height (%),Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age (%),Less -2 ET_Weight Age (%),Less  +2 ET_Weight Age (%),Avg RCS (ET)_Weight Age,Neonatal mortality (%),Post-neonatal mortality (%),Child mortality (%),Juvenile mortality (%),Child-juvenile mortality (%),Electricity (%),Time to get water (min),Wealth factor (%),HH heads w/o formal education (%),Literacy rt of hh heads (%),Female head of hh (%),FEI (%),Insecticide use (%),Irrigation use (%),Husbandry (%),Avg hh size (units),Fertilizer Use (%),Herbicide use (%),SMI,VGI,WDI,Precipitation
DIOURBEL,2019,57378,14438,85875,77973,876,11752,,,,,,,20.1,9.6,0.2,206.2178,289.2563,431.6739,560.2652,310.3203,193.9344,223.8802,691.9938,263.3182,284.3357,299,208.3333,175,,,,5.7,19.6,-1,0.7,7.2,1.3,-0.6,3.1,14.9,0.4,-1,2.6,1.1,3.7,1.2,4.8,8.6772,53.6904,3.1896,89.36,13.07,23.2309,0.5098,3.3774,6.1617,86.9757,9.5744,7.4267,,8.704033195,7.98712175,591.8073189,408
DIOURBEL,2020,77935,23005,114591,111231,880,19269,,,,,,,,,,210.086,313.3729,444.2745,673.9304,369.6906,221.4053,256.7186,457.7389,264.2339,317.2549,302.7674,209.2245,176.7289,,,,,,,,,,,,,,,,,,,,,,,87.86,16.48,9.4691,0.3972,,,73.425,9.9239,30.0871,,9.135472278,7.867965699,560.3003225,596
DIOURBEL,2021,54125,17842,95110,85354,712,10227,,,,,,,,,,236.9456,317.7043,446.5076,725.7709,371.3295,243.0053,254.5324,397.8802,257.3696,301.5001,328.2778,221.7708,203.2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79890872,9.067865576,,482
FATICK,2015,,,,,,,,,,,,,27.8,9.4,0.36,,,,,,,,,,,,,,,,,6.4,22.9,-1.1,1,7.4,0.6,-0.6,3,16.7,0.4,-1,3.1,1.6,4.8,3.5,8.1,6.6643,30.5031,2.1951,,,,,,,,,,,9.10274671,7.78870725,357.3215524,689
FATICK,2016,48021.6667,6098.3333,8197.6667,34420.6667,13991,3690.3333,6862,,,,,,32.1,2.6,3.8,225.0102,277.1402,351.3933,641.1516,289.4018,203.4434,196.9959,445.9583,232.4849,261.1978,252.9447,171.0354,196.2951,548.5211,182.3856,304.4775,6.5,19,-1.1,0.8,5.9,0.4,-0.5,2.4,14.3,0.4,-0.9,2.5,1.2,3.8,2.4,6.1,6.3392,,2.2758,,,,,,,,,,,8.98579259,7.734211403,426.5570481,573
FATICK,2017,76718,1097.6667,9808.3333,63229.6667,13835.6667,3045.3333,4299.3333,49896.5464,188336.2361,19163.2755,44180.1004,143285.1153,22,4.8,0.39,217.6582,297.4248,351.0644,645.459,231.3411,209.9295,221.3668,394.6036,240.759,276.5191,205.6744,200.2224,210.7358,537.2166,184.0192,282.6088,2.6,13.6,-0.7,2.4,12.6,0.3,-0.8,2.8,16.1,0.7,-1,2.7,0.6,3.3,1.9,5.1,9.1117,47.887,2.5823,74.8111,28.511,10.6487,0.8855,4.1665,2.484,78.8202,7.9742,91.3652,5.96,9.068299718,7.809418598,427.5779021,590
FATICK,2018,76049.6667,,13309.3333,58161,14357.6667,3403.3333,,47829.0814,326851.6237,37935.5878,69319.784,143973.4637,25.7,7.5,0.27,216.7409,301.4954,359.1431,545.9455,203.944,227.6049,221.9646,624.324,315.1611,281.6176,182.6838,190.2415,261.5461,470.1375,196.5397,489.8035,5.5,22.6,-1.1,0.9,6.9,1.3,-0.5,2.5,16,0.5,-1,2.8,1.3,4.1,2.2,6.2,8.298,45.1764,2.4359,76.72,33.8,10.6697,0.3696,2.026,2.4296,68.3181,9.0339,46.743,19.1815,8.75529443,7.676303273,413.6940817,496
FATICK,2019,228149,4441,39928,174483,43074,10211,7400,199611.9168,497151.0283,69679.7248,141434.033,292054.801,20.1,9.6,0.2,235.9391,300.2205,429.1856,550.0599,244.7549,233.7901,235.4062,987.2828,261.3567,287.5,207.7841,201.9849,215.5476,497.819,195.1938,810.755,5.7,19.6,-1,0.7,7.2,1.3,-0.6,3.1,14.9,0.4,-1,2.6,1.1,3.7,1.2,4.8,8.0442,49.6059,2.5398,66.99,39.4,6.4397,1.364,,,80.682,9.5269,10.1967,,8.812729719,7.783799022,423.899135,520
FATICK,2020,241066,20818,47759,277039,96967,24370,17191,,,,,,,,,240.7928,329.5834,481.7366,588.8839,333.2497,231.6361,268.5403,762.5788,266.665,293.3824,278.8902,220.2228,212.5493,480.2194,190.0912,560.2744,,,,,,,,,,,,,,,,,,,,47.45,54.67,10.0986,0.124,,,68.6533,8.0742,25.7648,,9.140658906,7.800071669,401.4504454,744
FATICK,2021,235009,21014,51823,189593,58624,13327,13585,,,,,,,,,241.5814,320.6687,466.167,650.1088,319.0309,222.7259,259.0397,671.6039,263.6652,299.0114,288.4012,216.681,220.8748,538.1163,196.5712,544.3355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.872338043,8.943877526,,628
